filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S22diaNA1	1	小	Name(prefix)	0.7025	0.9225	yaw	0.08687999999999996	122.5	128.777	0.9225	0.8392290249433108	128.777	128.669	128.035	127.401	126.808	126.233	125.782	125.735	125.688	125.585	125.466	125.387	125.4	125.414	125.203	124.95	124.446	123.517	122.589	122.334
S22diaNA1	2	英	Name	0.9225	1.1525	iN	0.19711000000000012	109.308	126.59	0.9809709334227158	1.124849923917893	115.816	112.24	109.922	109.738	110.21	110.272	110.591	111.578	112.337	113.994	117.096	119.746	121.861	123.447	124.415	125.133	125.845	126.386	125.755	123.065
S22diaNA1	3	开	Verb	1.1525	1.28973	@y	0.06631000000000009	109.481	120.872	1.28973	1.22342	121.055	120.69	120.757	120.825	120.853	120.792	120.732	120.649	120.298	119.948	119.597	118.61	117.507	116.404	115.339	114.298	113.257	112.243	111.274	110.304
S22diaNA1	4	哒	Aspect	1.28973	1.3656	a	0.047660000000000036	101.565	107.36	1.3656	1.3288303718801093	106.908	107.052	107.146	107.2	107.255	107.309	107.346	107.123	106.9	106.677	106.454	106.128	105.725	105.321	104.917	104.495	103.833	103.171	102.509	101.847
S22diaNA1	5	杂	Classifier	1.3656	1.4725	a	0.05999999999999983	118.172	121.05	1.4125	1.4338246265509558	116.067	117.258	118.36	119.166	119.971	120.777	121.047	121.044	121.04	121.017	120.793	120.569	120.345	120.177	120.062	119.946	119.83	119.588	119.34	119.092
S22diaNA1	6	椰	Object	1.4725	1.70063	E	0.17927000000000004	111.705	125.276	1.5534816764239263	1.6766435266128121	113.491	112.802	112.297	111.855	111.716	112.497	113.533	114.213	114.633	115.075	115.666	116.749	117.902	119.298	120.895	122.563	124.135	125.141	124.825	122.049
S22diaNA1	7	子	 Object(suffix)	1.70063	1.85578	I	0.06393000000000004	112.13	114.044	1.8068321876543354	1.84578	113.917	113.848	113.741	113.634	113.338	112.903	112.468	112.153	112.255	112.357	112.46	112.697	112.954	113.211	113.444	113.656	113.868	114.097	114.414	114.732
S22diaND1	1	小	Name(prefix)	0.2625	0.4425	yaw	0.08000000000000002	122.23	129.139	0.4277267176315716	0.3625	129.8	129.369	128.846	128.215	127.481	125.989	124.496	124.11	124.043	124.14	124.452	124.748	124.883	125.017	124.155	122.951	122.349	122.646	122.943	123.222
S22diaND1	2	映	Name	0.4425	0.6525	iN	0.18240999999999996	130.167	211.174	0.47009	0.6139314773896616	130.11	131.796	135.584	140.367	146.45	151.525	156.513	160.386	166.697	175.509	181.955	187.277	193.117	198.811	205.068	209.851	210.733	210.0	209.623	207.986
S22diaND1	3	卖	Verb	0.6525	0.7725	@	0.08550999999999997	125.913	172.315	0.7725	0.68699	172.806	170.15	167.758	165.055	162.228	158.714	154.567	151.029	148.748	146.476	144.26	142.044	140.133	138.24	136.317	134.384	132.699	131.212	129.544	127.56
S22diaND1	4	哒	Aspect	0.7725	0.85662	a	0.054180000000000006	105.981	118.91	0.85662	0.80244	120.35	119.779	119.208	118.428	117.421	116.413	115.419	115.179	114.939	114.7	114.446	114.182	113.919	113.567	112.388	111.209	110.031	108.937	107.891	106.845
S22diaND1	5	杂	Classifier	0.85662	1.0525	a	0.13	111.699	122.069	1.0454610309210426	0.938214959743647	117.579	120.57	121.795	121.832	120.791	119.761	118.834	118.102	117.513	117.103	116.886	116.795	116.648	116.434	116.04	115.709	115.269	114.41	112.823	111.981
S22diaND1	6	柚	Object	1.0525	1.22182	o	0.13971	125.34	202.889	1.08211	1.1985218730467142	121.338	124.662	127.882	131.103	134.345	137.496	140.244	144.034	149.405	155.046	160.529	166.8	174.611	186.884	195.249	200.406	202.712	202.847	198.33	193.19
