filename	idx	character	case	minTime	maxTime	rhyme	rhyme_duration	f0min	f0max	f0min_time	f0max_time	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10
S10dia1B1	1	阿	Name(prefix)	0.2625	0.40031	a	0.07436999999999999	110.198	115.173	0.40031	0.33012185905181335	114.466	113.545	112.774	113.058	112.848	112.447	111.905	111.288	110.657	110.057
S10dia1B1	2	影	Name	0.40031	0.6225	iN	0.18138000000000004	111.024	136.676	0.44112	0.5929817729657543	110.411	112.437	113.081	113.705	116.583	121.341	128.458	132.999	136.073	135.416
S10dia1B1	3	考	Verb	0.6225	0.82757	aw	0.12125000000000008	109.366	119.607	0.7475174450885218	0.70632	122.43	114.29	111.417	109.572	109.7	111.719	115.349	118.46	119.401	119.454
S10dia1B1	4	咗	Aspect	0.82757	0.9825	o	0.08357999999999999	118.168	122.442	0.9804215471348526	0.89892	124.186	122.37	122.096	121.611	121.441	121.576	121.927	122.148	121.164	119.547
S10dia1B1	5	七	Object	0.9825	1.12538	@	0.019570000000000087	132.621	134.502	1.12538	1.1086678004535147	134.502	134.502	134.317	133.973	133.629	133.286	132.942	132.563	131.672	130.78
S10dia1B1	6	十	Object	1.12538	1.27808	@	0.03003	100.606	103.615	1.26808	1.23805	108.886	107.288	105.689	104.091	103.023	102.179	101.336	100.474	99.496	98.518
S10dia1B1	7	几	Object	1.27808	1.46151	ey	0.0675800000000002	104.175	110.611	1.397953514739229	1.4563333826847542	104.175	104.53	105.409	105.316	105.144	105.416	106.494	108.021	109.722	110.568
S10dia1B1	8	分	Object	1.46151	1.699	@n	0.13450000000000006	116.164	128.157	1.6118752732234334	1.693428148908638	119.531	120.753	119.489	117.603	117.516	120.711	122.231	124.033	125.9	127.281
S10dia1F1	1	阿	Name(prefix)	0.19166	0.2825	a	0.06083999999999998	115.798	121.698	0.2808483045633147	0.2452140571922544	120.718	120.746	120.907	121.164	121.559	120.827	119.482	119.143	118.734	116.939
S10dia1F1	2	静	Name	0.2825	0.59158	iN	0.21647	98.828	119.66	0.5908099377821623	0.3767120181405896	119.66	115.945	111.47	109.575	108.248	107.889	105.995	105.479	104.919	104.405
S10dia1F1	3	订	Verb	0.59158	0.84661	EN	0.15603999999999996	102.131	108.234	0.7492411538571547	0.69057	111.623	105.969	104.463	102.85	102.183	102.347	103.01	104.431	106.496	107.01
S10dia1F1	4	咗	Aspect	0.84661	1.0125	o	0.1121399999999999	112.967	130.576	0.9017120181405895	0.9885988797119168	112.967	114.256	114.639	115.619	118.55	122.222	126.034	129.285	130.32	128.644
S10dia1F1	5	两	Modifier	1.0125	1.22764	&N	0.16125999999999996	107.877	122.602	1.119939199673248	1.06638	124.675	119.175	111.912	108.084	108.193	108.685	109.356	109.298	109.468	110.965
S10dia1F1	6	张	Modifier	1.22764	1.45812	&N	0.1656200000000001	111.914	146.413	1.4474241876463105	1.2925	148.65	140.264	134.809	131.636	128.254	124.691	120.347	119.319	115.884	113.193
S10dia1F1	7	电	Object	1.45812	1.6625	in	0.11434000000000011	93.74	103.996	1.6609417941016944	1.54816	110.513	102.368	100.538	101.625	101.525	100.701	99.497	97.589	95.519	94.252
S10dia1F1	8	影	Object	1.6625	1.8425	iN	0.14000000000000012	96.983	122.876	1.7245983865716465	1.8212737929063993	98.468	97.656	97.558	101.083	107.692	112.804	115.729	118.09	122.238	122.057
S10dia1F1	9	票	Object	1.8425	2.08383	yow	0.14132999999999996	100.438	111.984	1.996502806750075	1.9425	123.897	109.272	103.44	101.324	100.63	101.13	101.172	101.605	101.544	102.515
S10dia1C1	1	阿	Name(prefix)	0.26841	0.3625	a	0.05408999999999997	113.562	115.55	0.3559190627451455	0.32055307068373984	115.222	115.271	115.437	115.414	114.986	114.631	114.419	114.153	113.789	113.661
S10dia1C1	2	正	Name	0.3625	0.6401	EN	0.16921999999999998	107.539	118.247	0.5501192892566501	0.4827267714610883	117.453	117.812	115.461	111.539	108.881	107.993	110.398	111.207	110.641	109.838
S10dia1C1	3	去	Verb	0.6401	0.82348	&i	0.09026	107.449	116.982	0.8122671910329436	0.73322	119.816	116.692	114.911	112.993	111.459	110.395	109.517	108.614	107.923	107.51
